

 
device    r/s    w/s   kr/s   kw/s wait actv  svc_t  %w  %b 
md10      0.1    2.2    1.1    9.8  0.0  0.0    0.4   0   0 
md11      0.1    2.2    1.1    9.8  0.0  0.0    0.4   0   0 
md20      0.0    0.0    0.0    0.0  0.0  0.0    4.3   0   0 
md21      0.0    0.0    0.0    0.0  0.0  0.0    4.3   0   0 
md30      0.0    0.0    0.0    0.0  0.0  0.0   28.9   0   0 
md31      0.0    0.0    0.0    0.0  0.0  0.0   28.9   0   0 
sd0       0.1    2.2    1.1    9.8  0.0  0.0    0.4   0   0 
sd1       1.0   15.1   18.0   64.9  0.0  0.0    0.4   0   0 
nfs1      0.0    0.0    0.0    0.0  0.0  0.0    0.2   0   0 
nfs2      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
                 extended device statistics                 
device    r/s    w/s   kr/s   kw/s wait actv  svc_t  %w  %b 
md10      0.0    0.4    0.0    1.6  0.0  0.0    0.2   0   0 
md11      0.0    0.4    0.0    1.6  0.0  0.0    0.2   0   0 
md20      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md21      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md30      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md31      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
sd0       0.0    0.4    0.0    1.6  0.0  0.0    0.2   0   0 
sd1       0.0    5.0    0.0   10.9  0.0  0.0    0.2   0   0 
nfs1      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
nfs2      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
                 extended device statistics                 
device    r/s    w/s   kr/s   kw/s wait actv  svc_t  %w  %b 
md10      0.0    0.4    0.0    6.9  0.0  0.0    0.2   0   0 
md11      0.0    0.4    0.0    6.9  0.0  0.0    0.2   0   0 
md20      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md21      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md30      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md31      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
sd0       0.0    0.4    0.0    6.9  0.0  0.0    0.2   0   0 
sd1       0.6   10.0    3.4   12.9  0.0  0.0    0.7   0   0 
nfs1      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
nfs2      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
                 extended device statistics                 
device    r/s    w/s   kr/s   kw/s wait actv  svc_t  %w  %b 
md10      0.0    1.4    0.0   16.2  0.0  0.0    0.2   0   0 
md11      0.0    1.4    0.0   16.2  0.0  0.0    0.2   0   0 
md20      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md21      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md30      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md31      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
sd0       0.0    1.4    0.0   16.2  0.0  0.0    0.2   0   0 
sd1       0.0    4.4    0.0    8.1  0.0  0.0    0.2   0   0 
nfs1      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
nfs2      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
                 extended device statistics                 
device    r/s    w/s   kr/s   kw/s wait actv  svc_t  %w  %b 
md10      0.0    1.2    0.0    8.1  0.0  0.0    0.2   0   0 
md11      0.0    1.2    0.0    8.1  0.0  0.0    0.2   0   0 
md20      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md21      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md30      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md31      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
sd0       0.0    1.2    0.0    8.1  0.0  0.0    0.1   0   0 
sd1       0.0   25.2    0.0   52.9  0.0  0.0    0.1   0   0 
nfs1      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
nfs2      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
                 extended device statistics                 
device    r/s    w/s   kr/s   kw/s wait actv  svc_t  %w  %b 
md10      0.0    1.4    0.0    7.2  0.0  0.0    0.1   0   0 
md11      0.0    1.4    0.0    7.2  0.0  0.0    0.1   0   0 
md20      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md21      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md30      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md31      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
sd0       0.0    1.4    0.0    7.2  0.0  0.0    0.1   0   0 
sd1       1.4   80.8    2.8  411.1  0.0  0.0    0.1   0   1 
nfs1      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
nfs2      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
                 extended device statistics                 
device    r/s    w/s   kr/s   kw/s wait actv  svc_t  %w  %b 
md10      0.0    2.4    0.0   14.8  0.0  0.0    0.2   0   0 
md11      0.0    2.4    0.0   14.8  0.0  0.0    0.1   0   0 
md20      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md21      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md30      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
md31      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
sd0       0.0    2.4    0.0   14.8  0.0  0.0    0.1   0   0 
sd1       0.0   13.8    0.0   42.9  0.0  0.0    0.1   0   0 
nfs1      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
nfs2      0.0    0.0    0.0    0.0  0.0  0.0    0.0   0   0 
^C

root@norbi> iostat -x 
