=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2012.05.03 10:29:14 =~=~=~=~=~=~=~=~=~=~=~=
iostat 10
   tty       lofi2          md10          md11          md20           cpu
 tin tout kps tps serv  kps tps serv  kps tps serv  kps tps serv   us sy wt id
   0    7   0   0    0    5   1    1    5   1    1    0   0  600    0  0  0 99
   0  107   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  1  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    2  1  0 97
   0   16   0   0    0   12   8    1   12   8    1    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   91   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   32   0   0    0    0   1    0    0   1    0    0   0    0    0  1  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   1    0    0   1    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   93   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   32   0   0    0    0   0    0    0   0    0    0   0    0    0  1  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 100
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   tty       lofi2          md10          md11          md20           cpu
 tin tout kps tps serv  kps tps serv  kps tps serv  kps tps serv   us sy wt id
   0   91   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   32   0   0    0    0   0    0    0   0    0    0   0    0    0  1  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 100
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   91   0   0    0  114  10    3  114  10    3    0   0    0    0  0  0 99
   0   16   0   0    0    2   1    0    2   1    0    0   0    0    0  1  0 99
   0   16   0   0    0    1   1    0    1   1    0    0   0    0    1  1  0 98
   0   16   0   0    0    3   1    3    3   1    3    0   0    0    0  0  0 99
   0   16   0   0    0    3   1    1    3   1    1    0   0    0    0  0  0 99
   0   16   0   0    0   13   8    1   13   8    1    0   0    0    0  0  0 99
   0   91   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0   11   6    0   11   6    0    0   0    0    0  1  0 99
   0   32   0   0    0    1   0    0    1   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    2  1  0 97
   0   16   0   0    0   12   8    0   12   8    0    0   0    0    0  0  0 100
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   91   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   tty       lofi2          md10          md11          md20           cpu
 tin tout kps tps serv  kps tps serv  kps tps serv  kps tps serv   us sy wt id
   0   16   0   0    0    1   1    0    1   1    0    0   0    0    0  0  0 99
   0   32   0   0    0    0   0    0    0   0    0    0   0    0    0  1  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 100
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   91   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  1  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 100
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   91   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 100
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  1  0 99
   0   32   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   91   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 100
   tty       lofi2          md10          md11          md20           cpu
 tin tout kps tps serv  kps tps serv  kps tps serv  kps tps serv   us sy wt id
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  1  0 99
   0   32   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 100
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 100
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   91   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 100
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  1  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    2  1  0 97
   0   16   0   0    0   11   8    1   11   8    1    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   91   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 100
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  1  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 100
   0   32   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   91   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  1  0 99
   tty       lofi2          md10          md11          md20           cpu
 tin tout kps tps serv  kps tps serv  kps tps serv  kps tps serv   us sy wt id
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 100
   0   32   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   16   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 99
   0   91   0   0    0    0   0    0    0   0    0    0   0    0    0  0  0 100
